y[k-1],y[k-2],u[k-1],exec time,seed,nfev
1.8006008029108687,-0.9506032745946051,0.09941585522772849,414.98760533332825,20,91
1.7996941305409757,-0.9498455045331001,0.10038139858147986,516.133406162262,0,117
1.800077692971745,-0.9501937490506135,0.09997796305902344,547.3055262565613,26,126
1.800387015395758,-0.9503940291711125,0.10050087124332722,568.5331099033356,12,132
1.8004512871473497,-0.9504678193318791,0.10015714434971543,577.9857959747314,28,137
1.7997935147527413,-0.9497790639511374,0.0999190400445734,580.1653530597687,8,130
1.800639546632608,-0.9507006075892845,0.09904962219214271,590.5869629383087,4,145
1.8003967570530446,-0.9504801893433544,0.10064091228770942,606.0696136951447,18,152
1.7993408244866818,-0.9490992987943865,0.10013489850575359,616.6931097507477,10,146
1.7999093110726208,-0.949878515400232,0.09991798862519896,641.566775560379,30,151
1.800357777614147,-0.9502099175781415,0.09999437938155076,645.0964028835297,24,161
1.8000223540034663,-0.9497787458488381,0.10014353344584473,649.7902245521545,2,155
1.7999003612343438,-0.9501503665034873,0.09929575238229855,672.16290807724,16,166
1.7994773162105593,-0.9492663446946341,0.10015916972948184,679.6254043579102,14,163
1.8003187755959449,-0.950304643168324,0.09987292377646234,702.0984225273132,6,190
1.7999486570569727,-0.9499414993658515,0.10032795081540671,735.744879245758,22,173
1.8000635092107045,-0.9497044495047202,0.09945554045986321,500.05556297302246,27,118
1.7999206960056582,-0.9499323676340777,0.09988683828177886,567.0273020267487,1,128
1.799573812561239,-0.9494850040724516,0.10022039492387444,503.03067278862,9,113
1.7997841802580554,-0.9499816730352479,0.10063100639263527,476.6855902671814,11,105
1.8000973139465746,-0.950034528230012,0.10016384859095413,693.424479007721,21,164
1.8011317872056753,-0.9510396825406033,0.09933128476223015,548.1826498508453,19,124
1.8000499099773237,-0.9501165450839139,0.09986937764487627,608.8989386558533,13,148
1.7997821667960332,-0.9497211156337142,0.09983343238337475,518.6426827907562,7,124
1.7991549899998645,-0.9489189333338035,0.09997564869145606,581.1224763393402,31,133
1.7994827040351244,-0.9491374728585246,0.10094160569866802,579.8035454750061,15,145
1.79981625402721,-0.9497988487011662,0.10004437187476711,636.9600584506989,25,145
1.7999533246737993,-0.9498145237098204,0.1001161767174604,620.8579695224762,17,134
1.8000161058855886,-0.9500997411596329,0.09941562387099342,727.6287264823914,5,176
1.8001177637191748,-0.9503433315654343,0.10020683689932161,595.5254893302917,23,140
1.7989559826156023,-0.9494058805043875,0.10098612975902468,715.5823056697845,3,177
1.799434818731417,-0.9495724651984712,0.10053470871385677,817.2007014751434,29,195
