y[k-1],y[k-2],u[k-1],exec time,seed,nfev
1.4991801701613392,-0.6996041259039844,0.5001571456394651,487.8837089538574,8,52
1.4996867830338965,-0.6999836867244592,0.5000809428850305,506.7004840373993,16,56
1.4994949618098188,-0.6998575069800298,0.5014975765548981,541.7528033256531,18,60
1.4997253462705638,-0.6997116507483219,0.49936085078963766,548.6229362487793,20,56
1.5018409343306527,-0.7013822753982913,0.4987447401977189,584.0700628757477,28,64
1.5008369801353618,-0.7002577388145564,0.499276856142243,634.691488981247,14,63
1.4991412667620412,-0.6994604122384357,0.5008698517249076,644.8399927616119,26,78
1.4994118985116083,-0.6995116790766589,0.5007411674566306,706.492152929306,30,85
1.499321189419948,-0.6992323734628595,0.5007139730453748,739.1645548343658,4,86
1.5005860073172523,-0.7002329219918578,0.499743835698743,763.5157051086426,2,98
1.5009572481607503,-0.7009649992531016,0.499855730388555,779.6906447410583,22,94
1.4995878655329424,-0.6997153094333793,0.5003774460779272,790.8295919895172,6,94
1.499998989077076,-0.6998497815085463,0.5000550343686696,796.4457559585571,10,104
1.5011780080560493,-0.7009730643854263,0.49869663910400913,868.4513382911682,0,104
1.4997700915337853,-0.6995925513022514,0.4992838066418563,966.092693567276,24,118
1.498304114030186,-0.6986441369235052,0.5005447336631854,977.5541114807129,12,119
1.499405657451396,-0.6995401428180529,0.500698976120651,573.2595641613007,21,63
1.4991899187682427,-0.6991026732389871,0.4994858767976511,640.9893751144409,19,71
1.4996790182995232,-0.6998569133834475,0.5007367847552536,850.3930516242981,17,105
1.5001654438063898,-0.699925751219916,0.49974480519889475,654.0104773044586,31,82
1.5013339287705623,-0.7011563833334536,0.4995222751451962,573.4696202278137,11,67
1.5005097428970327,-0.7001303558924761,0.4986336950550323,756.2700147628784,27,90
1.5006512643324212,-0.7004657013681662,0.499609561097243,651.8277351856232,23,76
1.5011521407649184,-0.7014402088929013,0.5002769361483187,859.7998805046082,29,111
1.5004203754694447,-0.7004706543285476,0.49998903007339235,750.6325805187225,5,83
1.5014268198698608,-0.7005766423440716,0.4974097059913234,863.5649704933167,15,108
1.4995143698838354,-0.6995535190497298,0.4999448548804268,1015.5862650871277,9,145
1.5008172376597464,-0.7016579428546831,0.5008247019804615,819.7808787822723,3,98
1.4997463457498743,-0.699906025559647,0.5007668991276125,801.4568419456482,7,88
1.5006390562504115,-0.7006289662139187,0.49956625333142823,616.5600748062134,13,72
1.5017026614965259,-0.701603635719124,0.49873963138912564,629.5468363761902,25,70
1.499956561233278,-0.6999125531222894,0.4998368182855208,787.4271337985992,1,95
1.5002200612755447,-0.7002936239884617,0.5012752989375496,724.3439540863037,32,84
1.5020555014424504,-0.7015008540077093,0.49810190521664016,572.5615692138672,40,60
1.49933275241888,-0.6999035210698913,0.500977349368664,702.6082193851471,36,79
1.5004198675515201,-0.7000391002452916,0.49969104074088566,696.7934536933899,46,80
1.499721362247263,-0.6999267008342227,0.5017924521035158,660.4450674057007,48,75
1.5008076989201993,-0.700642060227322,0.4990337922060954,764.3806829452515,42,94
1.499894045922024,-0.6996104815720307,0.4988420085933285,807.0907201766968,38,99
1.498562678204463,-0.6991933284382256,0.5018319768195384,609.9718375205994,56,66
1.5010589136970383,-0.7008030728267606,0.49916305701659514,753.3613255023956,52,93
1.5003541443047475,-0.700603394719059,0.5006174717035662,681.1419200897217,54,77
1.4996452659681634,-0.7003605544141172,0.501948084572917,776.000326871872,50,98
1.4992916787892703,-0.6997991920709844,0.5014513951527368,683.0700554847717,58,72
1.4992542351436429,-0.699534068058817,0.5007387220398055,670.1001033782959,62,75
1.4992540051684522,-0.6991450303437908,0.5011366309225209,899.4660987854004,44,107
1.501431051999992,-0.7010371607618353,0.498248366526092,809.012088060379,60,101
1.4990418778617207,-0.6992381198042966,0.5009085140853127,621.7756245136261,33,67
1.5025139213509882,-0.7018431784074017,0.49732137450585145,770.1761784553528,41,93
1.5032611905451225,-0.7025092072463283,0.4961910417231527,609.117538690567,47,69
1.499217206972373,-0.6995296156261048,0.501102475043899,715.1535351276398,39,83
1.4981411600671748,-0.6986737558949958,0.500990199874721,653.3761065006256,53,75
1.502824552425593,-0.7020482072907297,0.4964587810012678,750.8868153095245,43,88
1.4989137168047304,-0.6991422731283432,0.5004467070679713,857.2888388633728,37,117
