y[k-1],y[k-2],u[k-1],exec time,seed
1.7706423826650255,-0.9228715975948943,0.1029231658486419,4.125533580780029,12
1.7628997875240238,-0.9141928647146992,0.10144604185048245,4.127239227294922,28
1.732047010668126,-0.8835069022873226,0.10148735714463582,4.367732286453247,22
1.774992588597864,-0.9244775531933094,0.09897230516242655,4.401774168014526,2
1.7591440842064103,-0.9109337110310795,0.101700589501439,4.5244951248168945,20
1.7346069313968244,-0.8848541050755402,0.09994497651843137,4.608720302581787,14
1.7560897721159114,-0.9081855800638576,0.10300807204198201,4.859456300735474,10
1.7349028471973214,-0.887909169495322,0.10204343798919456,4.926453113555908,16
1.7518532220182184,-0.9043871698549796,0.10259208172862169,4.933194637298584,0
1.7704204027507886,-0.9211094472306444,0.1005672693802157,4.989868402481079,30
1.7664850984181748,-0.9185493178769321,0.10267871633489806,5.184147357940674,26
1.7814313645084217,-0.9328797007574404,0.10199195436375537,5.324716806411743,6
1.7453652189182478,-0.8996672537805133,0.10552597441100767,5.4084460735321045,4
1.7540221365414927,-0.9065015013786405,0.10275348965567863,5.573871374130249,24
1.7372593574763102,-0.8919861811115247,0.10526438481844487,5.687349081039429,18
1.7725964822544287,-0.9244963328586536,0.10157291676119416,5.95297646522522,8
1.7638771334554073,-0.9159272963884432,0.10218420248328891,3.2202844619750977,29
1.7537211255044487,-0.906929914591907,0.10366305428581889,3.118853807449341,23
1.7641283467971134,-0.915930725651681,0.10193065704839212,3.1373462677001953,21
1.658127150389859,-0.8181559748519185,0.1096905494872423,3.1504299640655518,15
1.7382099836324587,-0.8907198290612248,0.10288041394053805,2.964907169342041,31
1.7231188032259852,-0.8778578586757636,0.10420494463150573,4.051122188568115,13
1.7706442172485843,-0.9214812803737136,0.10094460808998985,3.4621005058288574,17
1.7558286095868334,-0.9094351193961612,0.10503582336512567,3.1349170207977295,7
1.6987248880184784,-0.8553814452932319,0.10569992329376651,3.4000487327575684,27
1.7406481133601484,-0.8942048999796787,0.10339167597456998,4.223140716552734,3
1.7586465072752506,-0.913611912036993,0.10605761702780231,3.7712323665618896,11
1.7767861669053728,-0.928616597392703,0.10227112291365949,4.143635511398315,1
1.7683206346668772,-0.9186997248848516,0.09981979384344025,3.702059507369995,5
1.7654652327344857,-0.9185943484542674,0.10399468753906829,3.8150129318237305,25
1.7176708701388663,-0.8721870249227649,0.10432320563916757,3.670539140701294,9
1.7312495470810574,-0.8842237970633092,0.10282228022764058,4.015515089035034,19
1.7444997947584544,-0.8998803438472612,0.10541702126491799,3.2584261894226074,32
1.7092252480615986,-0.864415218730672,0.10474254898760844,3.601930618286133,34
1.7351168399952757,-0.8879636328405762,0.10261973821195315,3.4242401123046875,36
1.7608083121445133,-0.9140598429192299,0.10401922990991218,3.2063465118408203,40
1.7491671802146924,-0.9035136664638374,0.10456702708967486,3.6320948600769043,38
1.7450775005476193,-0.8973917338869135,0.10272984746766234,3.5402393341064453,42
1.740944832581869,-0.8946727443992534,0.10495146478882532,3.3399429321289062,46
1.771362013157477,-0.9230896555467728,0.10129535859071788,3.2821950912475586,48
1.7691172433684716,-0.9212218612808293,0.10257514650198503,3.480680227279663,44
1.7397154527120386,-0.8938171608933295,0.10340369531623426,3.729989528656006,52
1.7707331576770484,-0.9211182468122617,0.0994112109237035,3.886920928955078,50
1.773619527192129,-0.9259369828277266,0.10291885165712622,3.561328887939453,58
1.7642176050161236,-0.9166076496536145,0.10249026427256248,4.050268173217773,54
1.7412146324912983,-0.8952418493801569,0.10434856400201327,3.423476219177246,62
1.776131082058877,-0.928699539413128,0.1035824114380486,3.6841812133789062,60
1.7651530463872842,-0.9175544180945894,0.10308936113701617,4.836733341217041,56
1.7236271511758585,-0.8788191388212038,0.10509391679376733,3.312105417251587,33
1.7558137825535036,-0.9083763123193459,0.10325720067299268,3.5263671875,37
1.7492897986111373,-0.9022766976946686,0.10328823639672845,3.5614752769470215,35
1.775598755772078,-0.9275135710874183,0.10282541896773571,3.340022325515747,39
1.71119106408322,-0.8646040906492549,0.1033301601061414,3.655374765396118,41
1.7692088164272024,-0.9210651217382342,0.10204954198841111,3.19913387298584,49
1.756122576032508,-0.9075136355980115,0.10119195727084247,3.3602588176727295,45
1.7696456596829944,-0.921026890782366,0.10168540729635159,3.6880805492401123,47
1.753554811593667,-0.9073576231711661,0.10502036186023551,4.091961860656738,43
1.7746125278110654,-0.9258602322502653,0.10142889219974387,3.6416165828704834,53
1.7705566522564535,-0.9234054134001802,0.10399848597893632,4.0535688400268555,51
1.7809407093636436,-0.9317464765139484,0.1009354336200444,2.6815128326416016,64
1.7607013963070857,-0.9127916046782412,0.10228713945356344,3.535332679748535,55
1.7643984133943111,-0.9176300621686018,0.10425742427775882,3.589953899383545,63
1.775106343042628,-0.9266402309758638,0.10224377356305824,4.038973808288574,59
1.7135662448283495,-0.8685328976169575,0.10501272599225396,3.891455888748169,61
1.7867327977062935,-0.9374054137991001,0.10080548010601233,4.039923191070557,57
1.775700699728417,-0.9278372992061391,0.10332199466926835,3.1345579624176025,72
1.7826738025105962,-0.9325165716802264,0.0996840700157509,3.631580352783203,66
1.767435415706725,-0.9181298002173292,0.10082319473392612,3.6699886322021484,70
1.7050460656946047,-0.8610873380555061,0.10587603395024338,3.78039288520813,68
1.746022719182878,-0.9006291646246292,0.1067571039041234,3.4147112369537354,74
1.7292249565423985,-0.8835385963164729,0.10506211170768603,3.597256898880005,76
1.7539932754986984,-0.9071031986150171,0.1034493765760562,3.1626994609832764,82
1.7229209087225008,-0.8782097495395468,0.10671470876683442,3.938955068588257,78
1.7620889720182848,-0.9135692367870185,0.10122570806708919,2.893425941467285,88
1.7505636488634948,-0.9026880937606782,0.10207982765993727,3.1072590351104736,86
1.749325570802615,-0.9018635528574578,0.1024833132355032,4.256257057189941,80
1.7690357341372485,-0.9206849172349172,0.10196780125584852,3.8063766956329346,84
1.7595271027687311,-0.911691848764234,0.10273079516218535,3.894432306289673,65
1.7676214032953086,-0.9192792460249591,0.10158738768621205,3.755704402923584,92
1.7702539609245656,-0.9223356139291109,0.10246305654245028,4.172787189483643,90
1.754104398402005,-0.9069379744527019,0.10275227585257242,3.815110445022583,94
1.7806627596553626,-0.9317147020801289,0.10119988682389197,4.086713790893555,73
1.7683986829240452,-0.9198995140645415,0.10128645066526552,3.889333486557007,67
1.7438060770493657,-0.895187252913549,0.1009962317817425,3.931004047393799,69
1.7367338898014562,-0.8915781409766868,0.10561598762828238,3.891406536102295,75
1.7499472499551791,-0.9015110785739026,0.10137152445941665,4.019068479537964,71
1.750737077942439,-0.9033728707229766,0.10359370536248459,3.4690744876861572,83
1.7668851653000268,-0.9192396295207877,0.10169058884250037,3.9687485694885254,77
1.7686158944085952,-0.9198852295972004,0.10103982224021843,3.6370277404785156,79
1.7497637580375727,-0.9028048272672677,0.10324183750744616,2.811633825302124,85
1.7151347350131025,-0.8715815837237727,0.10686733245777971,3.548007011413574,89
1.7607098910126242,-0.9127599036251126,0.10325611382913075,3.869946002960205,87
1.7192196408795497,-0.8731208448843583,0.10295553063958857,3.2907838821411133,96
1.7633679608773078,-0.9153300640827864,0.1023082987465001,4.260251760482788,81
1.7594279042758942,-0.9095954099763869,0.09932070685358384,3.283493757247925,91
1.7675565442892374,-0.920671752138408,0.10335987689589043,3.951214075088501,93
1.7337247094603914,-0.8893760460164316,0.10515149831813146,3.529390335083008,98
1.773622826292321,-0.9250397373572476,0.10160661930622941,4.019460916519165,95
1.7263464683631433,-0.8794715312346162,0.1026267162197488,3.030230760574341,97
1.757746303324939,-0.9103294395131643,0.10269587786404065,3.1541335582733154,99
